Manufacturer,Serial Number,Construction Year,Material,Equipment Type,All.Manufacturer part number,,"Please analyze the data and state if there is any data issue or required cleansing ? If yes please state them below in points and what is the next steps which should to be taken accordignly.
Mandatory to state the technique which used for analysing the data ."
TOWER,210023/2021,2021,000000051000000378,3010,,,
TOWER,210027/2021,2021,000000051000000378,3010,3000101110,,
TOWER,210034/2021,2021,000000051000000378,3010,3,,
TOWER,210104/2021,2021,000000051000000379,3011,6,,
TOWER,PM21/210033,2021,000000051000000378,3010,15,,
TOWER,PM21/210063,2021,000000051000000378,3010,3000097740,,
SANSDEN,000000000000011123,2021,000000051000000000,3001,3000100722,,
SANSDEN,2109293/2021,2021,000000051000000387,3005,FB23,,
SANSDEN,2109827/2021,2021,000000051000000387,3005,3000097741,,
SANDEN,10713/2010,2010,000000051000000004,3005,3000103508,,
SANDEN,1110923/2011,2011,000000051000000448,3006,3000100716,,
SANDEN,111420/2011,2011,000000051000000005,3006,3000088418,,
SANDEN,1116753/2011,2011,000000051000000448,3006,3000097742,,
SANDEN,1140574/2011,2011,000000051000000005,3006,50,,
SANDEN,11872/2011,2011,000000051000000004,3006,53,,
SANDEN,11900/2011,2011,000000051000000005,3006,2010726,,
SANDEN,1213222/2012,2012,000000051000000387,3005,3000097744,,
SANDEN,1213344/2012,2012,000000051000000005,3006,3000103494,,
SANDEN,1213540/2012,2012,000000051000000004,3005,FB81,,
SANDEN,1213809/2012,2012,000000051000000004,3005,FB87,,
SANDEN,1214947/2012,2012,000000051000000005,3006,FB88,,
SANDEN,1215750/2015,2015,000000051000000448,3006,FB90,,
SANDEN,1215813/2012,2012,000000051000000005,3006,3000088426,,
SANDEN,1224635/2012,2012,000000051000000004,3005,FB96,,
SANDEN,122640/2012,2012,000000051000000387,3005,100,,
SANDEN,1310382/2013,2013,000000051000000005,3006,119,,
SANDEN,1317172/2013,2013,000000051000000005,3006,FB132,,
SANDEN,1318207/2013,2013,000000051000000004,3005,3000100700,,
SANDEN,14171199/2014,2014,000000051000000448,3006,3000103509,,
SANDEN,1417578/2014,2014,000000051000000448,3006,145,,
SANDEN,1417625/2014,2014,000000051000000448,3006,201054632,,
SANDEN,1417860/2014,2014,000000051000000448,3006,152,,
SANDEN,14203/2014,2014,000000051000000005,3006,3000097747,,
SANDEN,142838/2014,2014,000000051000000004,3005,201075558,,
SANDEN,143240/2014,2014,000000051000000448,3006,FB177,,
SANDEN,1614943/2016,2016,000000051000000005,3006,FB184,,
SANDEN,1615126/2016,2016,000000051000000004,3005,20107574,,
SANDEN,1615572/2016,2016,000000051000000005,3006,FB195,,
SANDEN,1615610/2016,2016,000000051000000448,3006,3000103541,,
SANDEN,1616043/2016,2016,000000051000000003,3004,209,,
SANDEN,1616566S/2016,2016,000000051000000386,3004,212,,
SANDEN,170133/2017,2017,000000051000000448,3006,213,,
SANDEN,170134/2017,2013,000000051000000448,3006,215,,
SANDEN,170353/2017,2017,000000051000000448,3006,FB216,,
SANDEN,180071/2018,2018,000000051000000448,3006,3000103510,,
SANDEN,180175/2018,2018,000000051000000005,3006,3000100736,,
SANDEN,180227/2018,2018,000000051000000448,3006,FB229,,
